model,accuracy,precision,recall,f1,roc_auc
Random Forest,0.9918402777777777,0.9936708860759493,0.7516457211250748,0.8558773424190801,0.9445693132980193
Logistic Regression,0.9791409465020576,0.6205205068810464,0.9084380610412927,0.7373704663212435,0.9743611589171441
