reactor_id,avg_predicted_failure_risk,max_predicted_failure_risk,predicted_failure_count,actual_failure_rate,avg_efficiency_loss,min_time_to_fault,avg_time_to_fault,maintenance_hours,downtime_hours,maintenance_cost,urgency_score,risk_score_norm,efficiency_loss_norm,urgency_score_norm,maintenance_benefit,selected_for_maintenance
B_R3,0.11175927390756919,0.9834179745057168,1363,0.05570987654320988,0.9292084628116478,0.02902867303845299,328.77159926470586,3,2,1000,0.9717902194574045,1.0,0.8832080438605762,1.0,0.9649624131581729,1
A_R2,0.06511321512374643,0.7248418489210364,1469,0.07013888888888889,1.0520833333333333,0.12974137931034482,588.3074515959021,3,2,1000,0.8851583365127814,0.48180149093695457,1.0,0.9108533084506719,0.7230714071586117,1
A_R3,0.03715034289505235,0.5915246098846206,772,0.04205246913580247,0.6311731937784126,1.0,916.911186490961,3,2,1000,0.5,0.17115748207901704,0.59992699606661,0.5145143365192265,0.3684597071633368,1
B_R1,0.026999808214657944,0.799117433868623,167,0.011882716049382716,0.17824074074074073,1.0,267.4701960210933,3,2,1000,0.5,0.058393572871808186,0.1694169416941694,0.5145143365192265,0.1829247362480002,0
B_R2,0.021743463425668182,0.49191606316035785,21,0.013618827160493827,0.20379905829124578,1.0,297.7405392890724,3,2,1000,0.5,0.0,0.19370999599959995,0.5145143365192265,0.16101586610372529,0
A_R1,0.027764259362122717,0.14986887339109603,0,0.0,0.0,,,3,2,1000,0.0,0.06688598263151896,0.0,0.0,0.03344299131575948,0
